NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
13320,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,SIMMRD",151,11.67,1.48,0,2.394,1.882,1.632,3100
17189,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",136,11.48,0,,2.18,1.74,1.49,3100
13318,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",143,10.86,1.05,0,2.3,1.89,1.586,3010
17357,"LAMB,NZ,IMP,BRAINS,CKD,SOAKED & FRIED",154,14.03,0,0,1.365,4.168,0.999,2559
10097,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",138,12.14,0,,2.15,1.72,1.47,2552
17187,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",273,16.97,0,,5.67,4.02,2.28,2504
01137,"EGG,YOLK,DRIED",679,33.73,2.1,0.07,18.116,23.679,8.766,2307
10096,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",127,10.28,0,,2.079,1.659,1.429,2195
17190,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",213,14.48,0,,3.96,4.21,2.44,2120
17358,"LAMB,NZ,IMP,BRAINS,RAW",118,11.33,0,0,1.035,2.243,0.781,2100
17186,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",145,12.55,0,,2.6,1.84,1.04,2043
01134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615,48.17,2.38,,13.198,17.564,5.713,2017
13319,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",196,12.57,0,,3.74,3.98,2.31,1995
01133,"EGG,WHOLE,DRIED",605,48.37,1.53,0.3,13.516,17.073,6.856,1630
17188,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",118,10.32,0,,1.91,1.64,0.95,1590
17185,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",122,10.4,0,,2.19,1.55,0.88,1352
01125,"EGG,YOLK,RAW,FRSH",322,15.86,3.59,0.56,9.551,11.738,4.204,1085
23421,"BEEF,NZ,IMP,KIDNEY,CKD,BLD",157,27.28,0,0,1.173,0.65,1.238,1002
01126,"EGG,YOLK,RAW,FRZ,PAST",299,15.33,1.3,0.17,7.922,9.775,4.248,991
01210,"EGG MIX,USDA CMDTY",555,35.6,23.97,2.46,10.305,13.745,7.555,975
01141,"EGG,TURKEY,WHL,FRSH,RAW",171,13.68,1.15,,3.632,4.571,1.658,933
01127,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",307,13.87,10.95,10.3,7.11,8.885,3.856,917
01160,"EGG,YOLK,RAW,FRZ,SALTED,PAST",275,14.07,1.77,0.07,7.159,9.07,3.733,912
01138,"EGG,DUCK,WHOLE,FRESH,RAW",185,12.81,1.45,0.93,3.681,6.525,1.223,884
01139,"EGG,GOOSE,WHOLE,FRESH,RAW",185,13.87,1.35,0.94,3.595,5.747,1.672,852
01140,"EGG,QUAIL,WHOLE,FRESH,RAW",158,13.05,0.41,0.4,3.557,4.324,1.324,844
17198,"VEAL,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",163,26.32,0,,1.74,1.24,1.13,791
04590,"FISH OIL,HERRING",902,0,0,,21.29,56.564,15.604,766
13324,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,SIMMRD",158,27.27,0,0,1.439,0.96,1.138,716
04594,"FISH OIL,SARDINE",902,0,0,,29.892,33.841,31.867,710
05178,"TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",189,27,0,0,2.304,1.038,2.167,648
15012,"CAVIAR,BLACK&RED,GRANULAR",264,24.6,4,0,4.06,4.631,7.405,588
01144,"EGG SUBSTITUTE,POWDER",444,55.5,21.8,21.8,3.766,5.341,1.683,572
04589,"FISH OIL,COD LIVER",902,0,0,,22.608,46.711,22.541,570
17368,"LAMB,NZ,IMP,LIVER,CKD,SOAKED & FRIED",168,25.8,1.48,0,1.959,1.014,1.148,566
17196,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",137,23.65,0.99,,1.23,0.77,0.67,565
05661,"CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED",172,25.78,1.11,0,2.033,1.387,1.265,564
05028,"CHICKEN,LIVER,ALL CLASSES,CKD,SIMMRD",167,24.46,0.87,0,2.06,1.416,1.988,563
17376,"LAMB,NZ,IMP,TESTES,CKD,SOAKED & FRIED",125,21.01,0,0,1.461,0.731,1.022,523
04591,"FISH OIL,MENHADEN",902,0,0,,30.427,26.694,34.197,521
05172,"TURKEY,WHL,GIBLETS,CKD,SIMMRD",173,26.44,0,0,1.725,1.041,1.537,521
05143,"DUCK,DOMESTICATED,LIVER,RAW",136,18.74,3.53,,1.44,0.71,0.63,515
05150,"GOOSE,LIVER,RAW",133,16.37,6.32,,1.59,0.81,0.26,515
17203,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",192,28.42,3.77,0,1.986,1.146,1.069,511
17364,"LAMB,NZ,IMP,KIDNEY,CKD,SOAKED & FRIED",112,19.78,0.18,0,0.92,0.453,0.826,508
10118,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",149,28.2,0,,1.06,0.86,0.23,504
17200,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",220,30.57,2.53,,3.41,1.84,1.31,501
04592,"FISH OIL,MENHADEN,FULLY HYDR",902,0,0,,95.6,0,0,500
17201,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",238,25.53,3.78,,4.9,2.64,1.89,493
04593,"FISH OIL,SALMON",902,0,0,,19.872,29.037,40.324,485
17204,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",193,27.37,4.47,0,2.109,1.194,1.159,485
10107,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",151,25.4,0,,1.51,1.55,0.38,480
15207,"ROE,MXD SP,CKD,DRY HEAT",204,28.62,1.92,,1.866,2.129,3.404,479
17374,"LAMB,NZ,IMP,SWEETBREAD,CKD,SOAKED & SIMMRD",144,21.13,0,0,2.342,1.847,0.393,462
05174,"TURKEY,GIZZARD,ALL CLASSES,CKD,SIMMRD",155,26.45,0,0,1.059,1.598,1.359,452
